gene,importance
PPIH,8.830050086773767e-05
DDIAS,8.762072542575791e-05
ATXN3,8.750191931487802e-05
RYBP,8.726638521743931e-05
RAD17,8.725428054807283e-05
SCLT1,8.71447674513474e-05
UHRF2,8.68285492904982e-05
PACSIN2,8.682453483632186e-05
MGAM,8.680794648549675e-05
IDNK,8.630250660947574e-05
DDX60,8.58568945732766e-05
MYLK,8.574114513285513e-05
CIAPIN1,8.509122963020258e-05
MAPKAPK3,8.475794644623086e-05
LATS2,8.428376951485752e-05
RNF13,8.427876294151659e-05
BECN1,8.420986400561703e-05
EIF2B3,8.38370307106918e-05
PPP2R5D,8.38040532161001e-05
SUCNR1,8.325659087678254e-05
SVIL,8.219905943341108e-05
PYHIN1,8.182065788695292e-05
ASXL1,8.17561298331656e-05
NTN1,8.151786586851202e-05
ARMC6,8.079011325945367e-05
TRIQK,8.073375182535568e-05
CEP68,8.049794406557021e-05
TC2N,8.046351225488619e-05
MLPH,8.041161942650732e-05
GATA2,7.9913326413216e-05
ERLIN2,7.983706414485748e-05
SRPK2,7.970436614073442e-05
CYB5A,7.967313460053003e-05
UGCG,7.94727173179853e-05
BAG2,7.942885241127823e-05
CD14,7.924231995292669e-05
MRPL34,7.921726971218412e-05
SDF2L1,7.911581483588921e-05
NAAA,7.855345458852449e-05
MN1,7.828174133370604e-05
DRAM2,7.824319051547509e-05
LYL1,7.823646430065335e-05
PRTN3,7.814113313322102e-05
JAZF1,7.809570962857253e-05
IFIT3,7.804060859542959e-05
WBP1L,7.801611246719911e-05
HIST3H2A,7.783799087951278e-05
ZNF639,7.782694762727713e-05
GLA,7.780249236864629e-05
ARPP21,7.718808087307033e-05
EMP1,7.705735728272142e-05
RNVU1-19,7.694459566470617e-05
SLC25A46,7.692093057820832e-05
CORO1B,7.677362440555568e-05
MTMR2,7.66635199711598e-05
ZBTB33,7.598933308515665e-05
CTSZ,7.575538955111287e-05
UBR1,7.572913419135958e-05
NEIL3,7.567378847155947e-05
PROM1,7.561550806070295e-05
R3HCC1,7.546956951511032e-05
RIOX2,7.531823072709588e-05
MAP3K11,7.511528374442756e-05
SEC11C,7.498360498032259e-05
TLE3,7.494407731915164e-05
GLRX2,7.470012941716351e-05
DMC1,7.459541971675624e-05
RGL4,7.457477785868982e-05
CD4,7.451770736860414e-05
CENPBD1P1,7.408905019960577e-05
MBP,7.381281986471939e-05
RNF2,7.371961012743019e-05
TEX9,7.368341612100859e-05
RGL2,7.287277186691392e-05
ENPP2,7.285892992098577e-05
ZSWIM7,7.282178302154363e-05
TRAFD1,7.275265664651637e-05
TRIO,7.264502085128366e-05
RABGAP1,7.24864172234196e-05
AP3D1,7.230360613674933e-05
CEP89,7.221146807596802e-05
TRG-AS1,7.218372656928532e-05
CNOT10,7.210012041799124e-05
SENP5,7.207022434703754e-05
LEF1,7.190736719964127e-05
PTPRD,7.181550614012713e-05
AMOTL1,7.160338902030262e-05
H2AFY2,7.133202386707157e-05
HADH,7.118302336983759e-05
MRPS18A,7.112447056519783e-05
PHTF2,7.096072482201573e-05
ARFGAP2,7.087629188114786e-05
PTOV1-AS1,7.080869389581803e-05
ANGEL2,7.071485150823611e-05
DDX23,7.071211198269929e-05
YPEL2,7.053430949746482e-05
ATF1,7.030812327874204e-05
MTF1,7.02859275210128e-05
TRIM26,7.017406566477877e-05
NAA16,7.015562137754692e-05
CXCL1,7.011586834478532e-05
FBP1,7.002990005797604e-05
SLC12A2,6.995183119513408e-05
ZNF254,6.97965393976525e-05
MYBBP1A,6.975231612336668e-05
XPO5,6.965746493738253e-05
C11orf1,6.965561984816474e-05
CDC42P3,6.959706166700162e-05
TRPM2,6.948103992559288e-05
POLR2M,6.91930574121268e-05
ENOPH1,6.908744058626872e-05
GRAMD4,6.90142612713364e-05
PIK3C3,6.900430702128796e-05
ISG20,6.899532658807429e-05
PEX19,6.874757427965173e-05
EIF2B1,6.869848601967517e-05
LTB,6.858443139565793e-05
MGAT5,6.842901047710949e-05
POGK,6.838524478964118e-05
HOTAIRM1,6.81217954997281e-05
GRK6,6.80766038097372e-05
ZNF33B,6.802456956447893e-05
TCEAL1,6.796413887948596e-05
BLM,6.793462643219479e-05
MON2,6.782872831464854e-05
CSF2RB,6.772377932256933e-05
TSTD2,6.761018563160606e-05
RPRD1A,6.746954116128531e-05
MKNK2,6.741308068355071e-05
RARA,6.730037447650342e-05
GOLGA7,6.706070588782222e-05
AAGAB,6.70316114553126e-05
C1orf174,6.677326693577671e-05
HIST1H3D,6.669078808934752e-05
CD24,6.661494118727411e-05
UAP1,6.649075237813807e-05
ODF2,6.642536361145972e-05
DNAJB4,6.630410078250186e-05
SUPV3L1,6.574765789004208e-05
BRWD3,6.568940018454769e-05
C2orf88,6.550628959718264e-05
SMC1B,6.546104982013654e-05
PDLIM2,6.500315065933053e-05
OXNAD1,6.4875883186802e-05
TMEM181,6.456678505853023e-05
VIM-AS1,6.44988852825079e-05
LOC101929586,6.446087983288929e-05
DDX51,6.445052717386836e-05
COPG1,6.43812862763052e-05
RFTN1,6.422699468501527e-05
ESYT1,6.410068078082109e-05
HMGCR,6.40314033607271e-05
TTC9C,6.401094383703071e-05
MGC72080,6.395579531785164e-05
CDC37L1,6.379506059921888e-05
CTBS,6.33034557655582e-05
EGLN2,6.311675483779356e-05
FARSB,6.308951830490185e-05
ARHGAP4,6.306228234318978e-05
GRK5,6.305374112642089e-05
TMEM131,6.300852804523315e-05
RPA1,6.298824033454364e-05
SLC52A2,6.298040684768255e-05
ZCCHC2,6.293014816640195e-05
WDR77,6.219822279298429e-05
NFU1,6.21508707373051e-05
SIKE1,6.214839546598104e-05
PPP1R10,6.20000655659891e-05
SLC7A6,6.181357546842401e-05
SCRN3,6.172538719966691e-05
PWWP2A,6.161637580317944e-05
CUL3,6.153832482079464e-05
CCDC125,6.15244256748388e-05
HCFC2,6.150380398712043e-05
HSD17B10,6.135848283119219e-05
HES1,6.132656861791821e-05
C5orf56,6.119138827839058e-05
PRCP,6.111170837639603e-05
FAM126A,6.107505297779519e-05
FKBP11,6.104710599056225e-05
ZNF75A,6.1030929511474765e-05
RELA,6.029531140392839e-05
ZNF277,6.015637676810111e-05
USP9Y,6.0114985995649305e-05
GTF2E1,6.001625993441796e-05
TMED8,5.984177304997274e-05
ABHD3,5.981303633105819e-05
COA7,5.9615532093554924e-05
